salesHistoryKey,propertyKey,streetAddress,salesTypeDsc,saleAmt,saleDate
163848,32082,1730 S MONROE ST,"1-Foreclosure, Auction, Bankru",186000,2011-02-03
215836,41742,1019 22nd ST S,K-Financial Institution,599999,2011-02-03
241571,46466,4500 S FOUR MILE RUN DR 132,6-Quitclaim,265000,2011-02-03
17130,3399,5035 35th RD N,2-Sale or Gift to Relative,629601,2011-02-03
44444,8837,4823 16th RD N,E-Estate Sale,540000,2011-02-02
251993,47936,1920 N DINWIDDIE ST,K-Financial Institution,760000,2011-02-02
22084,55776,3200 N GLEBE RD,"1-Foreclosure, Auction, Bankru",531500,2011-01-31
146269,28688,5413 8th PL S,5-Not Market Sale,174000,2011-01-29
16189,3208,N STUART ST,J-Property in 2 Jurisdictions,755000,2011-01-28
122624,57284,1320 N COURTHOUSE RD,"4-Multiple RPCs, Not A Coded S",19672000,2011-01-28
166045,32515,1511 S GEORGE MASON DR 22,"1-Foreclosure, Auction, Bankru",123277,2011-01-28
122619,24103,N COURTHOUSE RD,"4-Multiple RPCs, Not A Coded S",19672000,2011-01-28
217071,41997,506 24th ST S,2-Sale or Gift to Relative,570000,2011-01-27
250961,69410,3600 S GLEBE RD 322W,S-Short Sale,390000,2011-01-26
138151,27132,4501 ARLINGTON BLVD 0825,E-Estate Sale,385000,2011-01-25
236410,69060,1021 N GARFIELD ST 731,K-Financial Institution,540000,2011-01-24
241895,46520,4500 S FOUR MILE RUN DR 402,"1-Foreclosure, Auction, Bankru",358063,2011-01-21
92350,18116,3929 5th PL N,Q-Court Order/Quiet Title,1300000,2011-01-21
192210,37331,3563 S STAFFORD ST A1,R-Relocation Sale/Holding Co.,350000,2011-01-21
201254,67944,2816 B 16th RD S 2816B,"1-Foreclosure, Auction, Bankru",160650,2011-01-21
247965,47378,2720 S ARLINGTON MILL DR 305,S-Short Sale,299900,2011-01-20
232606,60228,1633 N COLONIAL TER 104,K-Financial Institution,359900,2011-01-20
200016,59173,1401 S BARTON ST 216,K-Financial Institution,275000,2011-01-20
146268,28688,5413 8th PL S,"1-Foreclosure, Auction, Bankru",208978,2011-01-19
193968,37659,2904 18th ST S,6-Quitclaim,144833,2011-01-19
193789,37627,3009 18th ST S,K-Financial Institution,309000,2011-01-19
88701,17540,900 N STAFFORD ST 1818,"4-Multiple RPCs, Not A Coded S",395000,2011-01-18
16939,3361,5201 OLD DOMINION DR,"1-Foreclosure, Auction, Bankru",545001,2011-01-18
44132,8769,4615 16th ST N,L-Land Sale,640000,2011-01-18
89655,17726,901 N STUART ST 4-130,"4-Multiple RPCs, Not A Coded S",395000,2011-01-18
242467,69217,4500 S FOUR MILE RUN DR 733,S-Short Sale,199000,2011-01-18
59990,11937,6908 FAIRFAX DR 100,K-Financial Institution,319400,2011-01-16
231286,44559,851 N GLEBE RD 2012,"1-Foreclosure, Auction, Bankru",220000,2011-01-14
42498,8438,2061 N WOODSTOCK ST 104,K-Financial Institution,119000,2011-01-13
206010,39907,1619 10th ST S,"1-Foreclosure, Auction, Bankru",352000,2011-01-13
95910,65131,N WAYNE ST,"4-Multiple RPCs, Not A Coded S",725000,2011-01-12
141682,27823,5528 3rd ST S,K-Financial Institution,409000,2011-01-12
251639,47879,3600 S GLEBE RD 635W,K-Financial Institution,290000,2011-01-12
95844,18813,1713 N WAYNE ST,"4-Multiple RPCs, Not A Coded S",725000,2011-01-12
173178,67079,4600 S FOUR MILE RUN DR 0241,K-Financial Institution,147000,2011-01-11
34071,6798,3611 22nd ST N,E-Estate Sale,600000,2011-01-10
67521,65347,N LARRIMORE ST,"4-Multiple RPCs, Not A Coded S",729000,2011-01-10
105545,52975,2100 LEE HWY 326,"1-Foreclosure, Auction, Bankru",174000,2011-01-10
141333,27752,5619 2nd ST S,"1-Foreclosure, Auction, Bankru",449569,2011-01-10
29606,5917,4311 VACATION LN,5-Not Market Sale,1275503,2011-01-10
67518,13497,929 N LARRIMORE ST,"4-Multiple RPCs, Not A Coded S",729000,2011-01-10
166096,32523,1501 S GEORGE MASON DR 22,"1-Foreclosure, Auction, Bankru",167248,2011-01-10
213918,41362,1703 S HAYES ST 00002,7-Partial Interest,217000,2011-01-10
126314,66127,3001 WASHINGTON BLVD,5-Not Market Sale,2370000,2011-01-07
155250,52385,2901 2nd ST S,"1-Foreclosure, Auction, Bankru",535000,2011-01-07
128243,25176,246 N BARTON ST,"1-Foreclosure, Auction, Bankru",497000,2011-01-07
168403,32929,903 S FREDERICK ST A,K-Financial Institution,99900,2011-01-06
198530,38486,3609 S FOUR MILE RUN DR,K-Financial Institution,180000,2011-01-06
190724,37044,3455 S UTAH ST,E-Estate Sale,275000,2011-01-06
195386,37916,S LOWELL ST,"4-Multiple RPCs, Not A Coded S",135000,2011-01-05
195595,37951,2008 S LOWELL ST,"4-Multiple RPCs, Not A Coded S",135000,2011-01-05
138777,27248,104 N TRENTON ST 104-1,"1-Foreclosure, Auction, Bankru",211470,2011-01-04
192209,37331,3563 S STAFFORD ST A1,R-Relocation Sale/Holding Co.,355000,2011-01-04
125784,24694,2605 11th ST N,"4-Multiple RPCs, Not A Coded S",1209306,2011-01-03
79131,15794,1219 N VERMONT ST,L-Land Sale,500000,2011-01-03
159789,52532,721 S GLEBE RD,"1-Foreclosure, Auction, Bankru",463000,2011-01-03
125790,57382,2609 11th ST N,"4-Multiple RPCs, Not A Coded S",1209306,2011-01-03
127463,66164,702 N FILLMORE ST,E-Estate Sale,410000,2010-12-30
169411,33103,5300 COLUMBIA PIKE 810,"1-Foreclosure, Auction, Bankru",211500,2010-12-30
206323,39960,1005 S QUINN ST,"1-Foreclosure, Auction, Bankru",373500,2010-12-30
210505,40730,1101 S ARLINGTON RIDGE RD 0704,"1-Foreclosure, Auction, Bankru",389500,2010-12-30
244425,46950,2301 25th ST S 4-101,"1-Foreclosure, Auction, Bankru",464915,2010-12-30
8512,1679,3215 N COLUMBUS ST,"4-Multiple RPCs, Not A Coded S",899000,2010-12-29
50152,9956,1715 N GEORGE MASON DR 107,7-Partial Interest,360000,2010-12-29
53580,10652,5513 FAIRFAX DR,E-Estate Sale,625000,2010-12-29
169981,33204,1111 S EDISON ST,K-Financial Institution,275000,2010-12-29
8546,1686,N COLUMBUS ST,"4-Multiple RPCs, Not A Coded S",899000,2010-12-29
54029,54627,5532 LEE HWY 21-E,K-Financial Institution,204500,2010-12-28
36551,7282,1823 N TAYLOR ST,E-Estate Sale,610000,2010-12-28
232734,45104,1302 S GLEBE RD,S-Short Sale,625000,2010-12-28
181214,35247,2621 S WALTER REED DR A,K-Financial Institution,230000,2010-12-27
160516,31429,901 S GLEBE RD,K-Financial Institution,285000,2010-12-27
175375,58417,2923 A S WOODSTOCK ST 00001,E-Estate Sale,332000,2010-12-23
97114,19089,3132 17th ST N,7-Partial Interest,509300,2010-12-22
265270,63872,1511 N ROLFE ST A 102,B-Not Previously Assessed,739900,2010-12-22
265490,56818,1160 N IVANHOE ST,B-Not Previously Assessed,1325000,2010-12-22
7408,63449,6319 35th ST N,L-Land Sale,565000,2010-12-22
10116,56480,5708 LITTLE FALLS RD,L-Land Sale,790000,2010-12-22
44771,8899,1511 N BUCHANAN ST,L-Land Sale,450000,2010-12-22
92512,18155,1922 N VEITCH ST,L-Land Sale,350000,2010-12-21
232926,60239,1436 S DINWIDDIE ST,K-Financial Institution,795300,2010-12-21
108845,21339,1530 KEY BLVD 1311,C-Condo Parking Space,21000,2010-12-21
20697,4119,3106 MILITARY RD,"4-Multiple RPCs, Not A Coded S",680000,2010-12-20
154842,61083,2516 ARLINGTON BLVD,"1-Foreclosure, Auction, Bankru",375000,2010-12-20
20700,4120,MILITARY RD,"4-Multiple RPCs, Not A Coded S",680000,2010-12-20
207692,40230,355 JEFFERSON DAVIS HWY,"4-Multiple RPCs, Not A Coded S",15000000,2010-12-17
207685,40229,333 LONG BRIDGE DR,"4-Multiple RPCs, Not A Coded S",15000000,2010-12-17
265219,50036,750 N QUINCY ST,5-Not Market Sale,11515200,2010-12-16
265217,50035,4040 WILSON BLVD,5-Not Market Sale,7234500,2010-12-16
247770,69338,5308 8th RD S 110G,K-Financial Institution,71000,2010-12-16
263086,49768,3331 KEMPER RD,B-Not Previously Assessed,526615,2010-12-16
157544,30863,413 S EDGEWOOD ST,K-Financial Institution,380000,2010-12-15
199236,38598,3400 25th ST S 28,"1-Foreclosure, Auction, Bankru",230561,2010-12-15
198717,67861,3653 S FOUR MILE RUN DR,5-Not Market Sale,110000,2010-12-15
235757,45588,1021 N GARFIELD ST 509,R-Relocation Sale/Holding Co.,644900,2010-12-15
13670,56600,2542 N GREENBRIER ST,L-Land Sale,455000,2010-12-14
125936,66113,1014 N CLEVELAND ST,7-Partial Interest,50000,2010-12-14
21487,62810,4540 32nd RD N,E-Estate Sale,850000,2010-12-13
53403,10620,5712 10th RD N,"4-Multiple RPCs, Not A Coded S",3100000,2010-12-13
53384,10616,5701 10th RD N,"4-Multiple RPCs, Not A Coded S",3100000,2010-12-13
53408,10621,5706 10th RD N,"4-Multiple RPCs, Not A Coded S",3100000,2010-12-13
78293,54339,4600 N CARLIN SPRINGS RD,"4-Multiple RPCs, Not A Coded S",3600000,2010-12-10
78297,15639,4524 N CARLIN SPRINGS RD,"4-Multiple RPCs, Not A Coded S",3600000,2010-12-10
75015,14966,516 N GREENBRIER ST,E-Estate Sale,413500,2010-12-10
30063,6008,2250 N VERNON ST,5-Not Market Sale,530000,2010-12-09
223379,43268,2717 S CLEVELAND ST,"1-Foreclosure, Auction, Bankru",248900,2010-12-08
131321,25777,3119 9th RD N,"4-Multiple RPCs, Not A Coded S",3900000,2010-12-07
131315,25776,3123 9th RD N,"4-Multiple RPCs, Not A Coded S",3900000,2010-12-07
195806,37995,2135 S NELSON ST,E-Estate Sale,250000,2010-12-07
131328,25778,3115 9th RD N,"4-Multiple RPCs, Not A Coded S",3900000,2010-12-07
206749,40042,1720 14th ST S,5-Not Market Sale,240000,2010-12-06
205656,39836,1601 13th ST S,L-Land Sale,240000,2010-12-06
118566,23251,1111 ARLINGTON BLVD 510,5-Not Market Sale,135000,2010-12-04
117459,23014,1121 ARLINGTON BLVD 710,5-Not Market Sale,165000,2010-12-04
241661,46481,4500 S FOUR MILE RUN DR 218,K-Financial Institution,247000,2010-12-03
233210,45201,1730 ARLINGTON BLVD 403,"1-Foreclosure, Auction, Bankru",260000,2010-12-03
111196,21780,1600 N OAK ST 1632,7-Partial Interest,150000,2010-12-02
262635,49666,2225 12th CT N,C-Condo Parking Space,25000,2010-12-01
140541,27589,11 S ABERDEEN ST,7-Partial Interest,350000,2010-12-01
191745,37247,4128 36th ST S,R-Relocation Sale/Holding Co.,420000,2010-11-30
265488,50108,1912 S NELSON ST,B-Not Previously Assessed,725000,2010-11-30
13721,2715,2521 N GRANADA ST,L-Land Sale,460000,2010-11-29
263082,49767,3329 KEMPER RD,B-Not Previously Assessed,622721,2010-11-29
263049,49760,2507 S KENMORE CT,B-Not Previously Assessed,535990,2010-11-29
263097,49770,3337 KEMPER RD,B-Not Previously Assessed,705978,2010-11-29
7752,1534,5701 WILLIAMSBURG BLVD,5-Not Market Sale,515000,2010-11-29
41250,8202,4642 20th ST N,K-Financial Institution,495000,2010-11-23
249160,47576,CRYSTAL DR,"1-Foreclosure, Auction, Bankru",15882379,2010-11-23
249157,69376,CRYSTAL DR,"1-Foreclosure, Auction, Bankru",15882379,2010-11-23
173970,33956,4600 S FOUR MILE RUN DR 0715,"1-Foreclosure, Auction, Bankru",49902,2010-11-22
149608,29317,303 S ABINGDON ST,"1-Foreclosure, Auction, Bankru",609763,2010-11-19
202786,39281,3212 12th ST S,"4-Multiple RPCs, Not A Coded S",415000,2010-11-19
202849,39292,12th ST S,"4-Multiple RPCs, Not A Coded S",415000,2010-11-19
184697,35895,4817 31st ST S B2,S-Short Sale,245000,2010-11-18
208678,40404,1200 CRYSTAL DR 1113,E-Estate Sale,700000,2010-11-16
249094,47560,1601 19th ST N 103,"4-Multiple RPCs, Not A Coded S",1400000,2010-11-15
249102,60643,1601 19th ST N 203,"4-Multiple RPCs, Not A Coded S",1400000,2010-11-15
249114,47566,1601 19th ST N 304,"4-Multiple RPCs, Not A Coded S",1400000,2010-11-15
249088,47558,1601 19th ST N 002,"4-Multiple RPCs, Not A Coded S",1400000,2010-11-15
265382,56813,1811 14th ST N C 402,B-Not Previously Assessed,578500,2010-11-15
249096,69373,1601 19th ST N 104,"4-Multiple RPCs, Not A Coded S",1400000,2010-11-15
249112,47565,1601 19th ST N 303,"4-Multiple RPCs, Not A Coded S",1400000,2010-11-15
7214,1429,3520 N OHIO ST,L-Land Sale,650000,2010-11-12
174612,67121,4600 S FOUR MILE RUN DR 1040,"1-Foreclosure, Auction, Bankru",130000,2010-11-12
219832,42554,3133 S GLEBE RD,"1-Foreclosure, Auction, Bankru",350627,2010-11-12
21514,4277,4533 32nd ST N,E-Estate Sale,1237100,2010-11-11
169754,66971,1028 S DINWIDDIE ST,K-Financial Institution,270000,2010-11-11
99432,19551,13th ST N,"4-Multiple RPCs, Not A Coded S",839200,2010-11-10
111612,64534,17th ST N,"4-Multiple RPCs, Not A Coded S",18000000,2010-11-10
39370,55247,4330 OLD DOMINION DR,E-Estate Sale,21000,2010-11-10
111616,21862,17th ST N,"4-Multiple RPCs, Not A Coded S",18000000,2010-11-10
111620,21863,17th ST N,"4-Multiple RPCs, Not A Coded S",18000000,2010-11-10
99354,19537,3809 13th ST N,"4-Multiple RPCs, Not A Coded S",839200,2010-11-10
104762,64321,1909 KEY BLVD 11554,E-Estate Sale,237000,2010-11-10
191630,37225,3467 S STAFFORD ST A,R-Relocation Sale/Holding Co.,410000,2010-11-10
265596,56824,17th ST N,B-Not Previously Assessed,925000,2010-11-10
19033,3791,3619 N VERMONT ST,L-Land Sale,1500000,2010-11-10
111649,53170,1916 WILSON BLVD,"4-Multiple RPCs, Not A Coded S",18000000,2010-11-10
111653,21868,1860 WILSON BLVD,"4-Multiple RPCs, Not A Coded S",18000000,2010-11-10
147671,66820,5059 9th ST S,"1-Foreclosure, Auction, Bankru",393000,2010-11-09
262870,49721,5630 26th ST N,B-Not Previously Assessed,1325000,2010-11-08
31702,6340,4100 25th PL N,"4-Multiple RPCs, Not A Coded S",749950,2010-11-05
198721,38516,3655 S FOUR MILE RUN DR,K-Financial Institution,185000,2010-11-05
31656,6331,25th PL N,"4-Multiple RPCs, Not A Coded S",749950,2010-11-05
204403,39589,2900 13th ST S 00203,"1-Foreclosure, Auction, Bankru",242327,2010-11-05
139676,57833,4304 N PERSHING DR 43042,S-Short Sale,155000,2010-11-04
215835,41742,1019 22nd ST S,"1-Foreclosure, Auction, Bankru",552500,2010-11-04
235756,45588,1021 N GARFIELD ST 509,R-Relocation Sale/Holding Co.,644900,2010-11-04
143005,28098,5111 8th RD S 013,"1-Foreclosure, Auction, Bankru",57000,2010-11-04
11943,56542,2527 N JEFFERSON ST,L-Land Sale,561000,2010-11-03
37295,7430,1523 N STAFFORD ST,E-Estate Sale,725000,2010-11-03
72716,14516,615 N EDISON ST,"1-Foreclosure, Auction, Bankru",476000,2010-11-02
42185,8377,2024 N WOODSTOCK ST,E-Estate Sale,525000,2010-11-01
168269,32904,5110 COLUMBIA PIKE 3,"1-Foreclosure, Auction, Bankru",76418,2010-11-01
207857,40261,1300 CRYSTAL DR 409S,E-Estate Sale,550000,2010-11-01
126847,24902,703 N BARTON ST,5-Not Market Sale,490000,2010-11-01
194490,37755,2909 20th ST S,"1-Foreclosure, Auction, Bankru",419766,2010-11-01
215407,41661,606 20th ST S,5-Not Market Sale,400000,2010-11-01
164669,32240,2036 S QUINCY ST,5-Not Market Sale,275000,2010-10-29
76590,15283,211 N GRANADA ST,E-Estate Sale,595000,2010-10-29
230076,44370,851 N GLEBE RD 610,S-Short Sale,263000,2010-10-29
166742,32635,4916 25th ST S,S-Short Sale,402000,2010-10-29
12250,63607,5214 26th RD N,K-Financial Institution,540000,2010-10-28
155732,30507,ARLINGTON BLVD,"4-Multiple RPCs, Not A Coded S",550000,2010-10-28
147205,28868,5353 COLUMBIA PIKE 112,"1-Foreclosure, Auction, Bankru",126000,2010-10-28
155697,30498,3120 ARLINGTON BLVD,"4-Multiple RPCs, Not A Coded S",550000,2010-10-28
157642,30882,2614 2nd ST S,S-Short Sale,350500,2010-10-27
109095,21390,ARLINGTON BLVD,8-Gov't Agencies Acquisition,31700,2010-10-27
128135,25156,307 N BARTON ST,K-Financial Institution,583600,2010-10-27
73527,14671,607 N ILLINOIS ST,K-Financial Institution,645000,2010-10-26
128658,57475,314 N FILLMORE ST,"1-Foreclosure, Auction, Bankru",495098,2010-10-26
232858,45127,2022 S GLEBE RD,S-Short Sale,350000,2010-10-26
3896,755,6421 26th ST N,L-Land Sale,510000,2010-10-25
251638,47879,3600 S GLEBE RD 635W,"1-Foreclosure, Auction, Bankru",310000,2010-10-22
252707,48060,4063 S FOUR MILE RUN DR 404,K-Financial Institution,295000,2010-10-22
260510,49304,888 N QUINCY ST 1711,S-Short Sale,545000,2010-10-22
181581,35313,2828 S BUCHANAN ST,"1-Foreclosure, Auction, Bankru",246240,2010-10-21
258742,48921,1012 N HIGHLAND ST 130BS,"4-Multiple RPCs, Not A Coded S",1430550,2010-10-20
265197,50029,1004 N HIGHLAND ST 130A1S,"4-Multiple RPCs, Not A Coded S",1430550,2010-10-20
165224,32347,1412 S QUINCY ST,K-Financial Institution,288750,2010-10-19
219219,42430,2310 FORT SCOTT DR,"1-Foreclosure, Auction, Bankru",671000,2010-10-19
237239,45785,832 S GREENBRIER ST 1,K-Financial Institution,110000,2010-10-19
37822,7537,4001 20th ST N,E-Estate Sale,525000,2010-10-19
249534,47626,3625 10th ST N 708,K-Financial Institution,543500,2010-10-18
150272,29447,3601 5th ST S 203,"1-Foreclosure, Auction, Bankru",132209,2010-10-18
215994,41773,833 22nd ST S,B-Not Previously Assessed,1100000,2010-10-15
265298,50063,1511 N ROLFE ST A 303,A-Correction Deed,529000,2010-10-15
231517,68876,6543 WASHINGTON BLVD,5-Not Market Sale,726000,2010-10-15
242235,46577,4500 S FOUR MILE RUN DR 611,"1-Foreclosure, Auction, Bankru",283886,2010-10-15
207540,40195,1805 CRYSTAL DR 1105S,"1-Foreclosure, Auction, Bankru",358072,2010-10-14
172174,58319,1109 S BUCHANAN ST,K-Financial Institution,300000,2010-10-14
229868,44338,851 N GLEBE RD 1906,S-Short Sale,385000,2010-10-13
139939,27463,40 N GLEBE RD,"4-Multiple RPCs, Not A Coded S",1522053,2010-10-12
114268,22372,1307 N ODE ST 412,K-Financial Institution,250000,2010-10-12
139947,27465,CATHEDRAL LN,"4-Multiple RPCs, Not A Coded S",1522053,2010-10-12
153188,30026,4241 COLUMBIA PIKE 605,"1-Foreclosure, Auction, Bankru",67099,2010-10-12
22770,4537,4212 31st ST N,L-Land Sale,606400,2010-10-12
97358,19137,1605 N EDGEWOOD ST,L-Land Sale,851000,2010-10-11
236409,69060,1021 N GARFIELD ST 731,"1-Foreclosure, Auction, Bankru",580000,2010-10-11
8033,63468,3440 N EDISON ST,7-Partial Interest,310200,2010-10-08
265561,50132,2406 N POTOMAC ST,L-Land Sale,450000,2010-10-08
178912,34841,2919 E S WOODLEY ST 00001,"1-Foreclosure, Auction, Bankru",244074,2010-10-08
206748,40042,1720 14th ST S,E-Estate Sale,200000,2010-10-07
158113,30978,301 S ADAMS ST,"1-Foreclosure, Auction, Bankru",481280,2010-10-06
232605,60228,1633 N COLONIAL TER 104,"1-Foreclosure, Auction, Bankru",407004,2010-10-06
168140,32886,5050 COLUMBIA PIKE 1,2-Sale or Gift to Relative,89000,2010-10-05
170437,66991,1232 S FOREST DR,K-Financial Institution,473000,2010-10-05
263005,63823,2515 S KENMORE CT,B-Not Previously Assessed,732000,2010-10-05
30116,6018,2307 N WAKEFIELD ST,E-Estate Sale,668500,2010-10-04
16278,3229,4226 40th ST N,E-Estate Sale,735000,2010-10-01
249066,47552,2733 CRYSTAL DR,"4-Multiple RPCs, Not A Coded S",241912939,2010-10-01
249064,47551,2777 CRYSTAL DR,"4-Multiple RPCs, Not A Coded S",241912939,2010-10-01
173056,33794,4600 S FOUR MILE RUN DR 0211,K-Financial Institution,37178,2010-09-30
174035,33964,4600 S FOUR MILE RUN DR 0727,S-Short Sale,150000,2010-09-30
7581,63454,6206 35th ST N,L-Land Sale,630000,2010-09-30
17073,55610,3512 N DELAWARE ST,E-Estate Sale,695000,2010-09-30
29618,5919,2521 N UTAH ST,L-Land Sale,710000,2010-09-30
69641,13931,905 N FREDERICK ST,S-Short Sale,420000,2010-09-29
170586,33316,5126 12th ST S,R-Relocation Sale/Holding Co.,350000,2010-09-29
35520,7084,4343 LEE HWY 503,S-Short Sale,220000,2010-09-29
139040,66544,220 N THOMAS ST 220-2,"1-Foreclosure, Auction, Bankru",170000,2010-09-29
172567,33709,1500 S GEORGE MASON DR 03,"1-Foreclosure, Auction, Bankru",109000,2010-09-29
234199,45383,801 S GREENBRIER ST 317,K-Financial Institution,285000,2010-09-29
86795,53497,3800 FAIRFAX DR 1-89,"4-Multiple RPCs, Not A Coded S",510000,2010-09-28
214260,41430,16th ST S,6-Quitclaim,10100,2010-09-28
256960,60825,1735 FAIRFAX DR 2,K-Financial Institution,306000,2010-09-28
14418,2858,2409 N FLORIDA ST,E-Estate Sale,500000,2010-09-28
86174,17089,3800 FAIRFAX DR 1306,"4-Multiple RPCs, Not A Coded S",510000,2010-09-28
41249,8202,4642 20th ST N,"1-Foreclosure, Auction, Bankru",695000,2010-09-27
49895,9906,5217 19th ST N,S-Short Sale,414000,2010-09-27
49422,9812,2141 PATRICK HENRY DR,K-Financial Institution,477500,2010-09-24
254724,48345,S KENT ST,"4-Multiple RPCs, Not A Coded S",100,2010-09-24
259686,49103,3350 KEMPER RD,"4-Multiple RPCs, Not A Coded S",100,2010-09-24
263288,49807,3350 KEMPER RD,"4-Multiple RPCs, Not A Coded S",100,2010-09-24
265254,50052,3350 KEMPER RD,"4-Multiple RPCs, Not A Coded S",100,2010-09-24
126897,24909,805 N BARTON ST,K-Financial Institution,419000,2010-09-22
25422,5063,2441 N LINCOLN ST,"4-Multiple RPCs, Not A Coded S",404150,2010-09-22
26182,5215,N LINCOLN ST,"4-Multiple RPCs, Not A Coded S",404150,2010-09-22
195619,37956,2116 S LOWELL ST,S-Short Sale,305000,2010-09-22
167041,61476,2516 S WALTER REED DR 00003,A-Correction Deed,475000,2010-09-21
191629,37225,3467 S STAFFORD ST A,R-Relocation Sale/Holding Co.,410000,2010-09-20
47690,9480,2107 N DINWIDDIE ST,K-Financial Institution,449000,2010-09-20
242193,69208,4500 S FOUR MILE RUN DR 601,"1-Foreclosure, Auction, Bankru",339000,2010-09-20
102442,20120,1581 N COLONIAL TER 201-X,7-Partial Interest,170000,2010-09-20
62247,54900,2104 N NOTTINGHAM ST,"1-Foreclosure, Auction, Bankru",527500,2010-09-20
176751,34457,4640 B 28th RD S B,K-Financial Institution,285000,2010-09-18
193788,37627,3009 18th ST S,"1-Foreclosure, Auction, Bankru",322150,2010-09-17
145153,28473,5001 7th RD S 302,"1-Foreclosure, Auction, Bankru",342794,2010-09-17
53,8,3534 N SOMERSET ST,"4-Multiple RPCs, Not A Coded S",2000000,2010-09-16
6917,1365,5138 38th ST N,"4-Multiple RPCs, Not A Coded S",1049000,2010-09-16
6921,1366,38th ST N,"4-Multiple RPCs, Not A Coded S",1049000,2010-09-16
8,1,N ROCHESTER ST,"4-Multiple RPCs, Not A Coded S",2000000,2010-09-16
222942,68640,2812 S MEADE ST,"1-Foreclosure, Auction, Bankru",345000,2010-09-16
143751,28219,750 S DICKERSON ST 305,6-Quitclaim,139900,2010-09-15
172031,58315,5047 25th ST S,K-Financial Institution,331000,2010-09-15
143977,28260,820 S ARLINGTON MILL DR 3-202,K-Financial Institution,124150,2010-09-15
113,56150,6537 36th ST N,L-Land Sale,675000,2010-09-14
206258,39950,1025 S QUINN ST,K-Financial Institution,470000,2010-09-14
143489,28177,5101 8th RD S 313,K-Financial Institution,74200,2010-09-14
35139,55108,2332 N FILLMORE ST,E-Estate Sale,649000,2010-09-14
136639,57739,4141 HENDERSON RD 1117,S-Short Sale,279000,2010-09-13
149447,29284,206 S GLEBE RD,K-Financial Institution,320000,2010-09-13
154839,30338,2512 ARLINGTON BLVD,E-Estate Sale,370000,2010-09-13
232925,60239,1436 S DINWIDDIE ST,"1-Foreclosure, Auction, Bankru",1058046,2010-09-13
1024,195,7033 WILLIAMSBURG BLVD,J-Property in 2 Jurisdictions,740000,2010-09-10
192834,37450,4682 34th ST S A1,"1-Foreclosure, Auction, Bankru",205125,2010-09-10
72715,14516,615 N EDISON ST,"1-Foreclosure, Auction, Bankru",610050,2010-09-09
159982,31333,847 S IVY ST,K-Financial Institution,270200,2010-09-09
48824,9690,5226 LEE HWY,"4-Multiple RPCs, Not A Coded S",3500000,2010-09-08
53566,54612,5501 FAIRFAX DR,R-Relocation Sale/Holding Co.,567500,2010-09-08
97482,19165,1600 N CLEVELAND ST,L-Land Sale,1201000,2010-09-08
166424,32580,1401 S COLUMBUS ST,E-Estate Sale,390000,2010-09-08
197256,38258,2447 S NELSON ST,"1-Foreclosure, Auction, Bankru",207300,2010-09-08
48827,9691,5232 LEE HWY,"4-Multiple RPCs, Not A Coded S",3500000,2010-09-08
216125,59683,621 22nd ST S,S-Short Sale,410000,2010-09-07
143750,28219,750 S DICKERSON ST 305,8-Gov't Agencies Acquisition,255414,2010-09-07
198057,38403,2449 S KENWOOD ST,"1-Foreclosure, Auction, Bankru",402667,2010-09-04
153827,61051,904 S MONROE ST,"1-Foreclosure, Auction, Bankru",501603,2010-09-03
234154,45376,801 S GREENBRIER ST 307,K-Financial Institution,234641,2010-09-03
14764,2926,5812 37th ST N,L-Land Sale,622500,2010-09-02
186464,67480,4623 31st RD S B2,"1-Foreclosure, Auction, Bankru",244000,2010-09-02
105041,20626,2100 LEE HWY G04,K-Financial Institution,283000,2010-09-02
46797,9310,2311 N DINWIDDIE ST,S-Short Sale,490000,2010-09-01
70956,14197,828 N EDISON ST,E-Estate Sale,509000,2010-08-31
9682,1906,3313 N KENSINGTON ST,L-Land Sale,600500,2010-08-31
19235,3828,4284 38th ST N,L-Land Sale,750000,2010-08-31
181235,35252,2623 S WALTER REED DR B,E-Estate Sale,282500,2010-08-31
265307,56812,1511 N ROLFE ST A 401,B-Not Previously Assessed,635000,2010-08-31
281,50,3517 N SOMERSET ST,B-Not Previously Assessed,1550000,2010-08-30
174566,34059,4600 S FOUR MILE RUN DR 1028,S-Short Sale,145000,2010-08-30
169040,33042,5300 COLUMBIA PIKE 206,K-Financial Institution,229900,2010-08-30
168490,32946,5105 10th ST S 2,E-Estate Sale,138000,2010-08-27
174886,34120,4600 S FOUR MILE RUN DR 1224,S-Short Sale,87000,2010-08-27
194706,37789,2054 SHIRLINGTON RD,L-Land Sale,233800,2010-08-27
243034,69234,4500 S FOUR MILE RUN DR 1203,S-Short Sale,250000,2010-08-27
129456,57502,84 N BEDFORD ST 84B,E-Estate Sale,345000,2010-08-27
150577,29501,3701 5th ST S 00301,K-Financial Institution,117000,2010-08-27
162168,52607,809 S ORME ST,S-Short Sale,270000,2010-08-26
265448,50096,1609 N RANDOLPH ST,B-Not Previously Assessed,1300000,2010-08-26
168058,32872,5010 COLUMBIA PIKE 2,S-Short Sale,84000,2010-08-26
159100,52507,719 S ADAMS ST,"1-Foreclosure, Auction, Bankru",349275,2010-08-25
246272,47169,2001 15th ST N 912,"1-Foreclosure, Auction, Bankru",406900,2010-08-25
175339,34207,2917 D S WOODSTOCK ST 00004,E-Estate Sale,427500,2010-08-25
