blockGroup,marketCategory,sales20092010,unitsPerSquareMile,residentialPermits,vacantLots,vacantHouseNotices,foreclosureFilings,ownerOccupied
1510001,Middle Market Stressed,11,4150,0,11,1,9,47.1
802004,Distressed,11,3325,0,33,31,7,27.5
803022,Distressed,11,3585.71,0,1,3,6,65.4
1205001,Distressed,11,4900,2,30,25,7,16.9
2301001,Middle Market,11,6800,2,17,2,5,26.2
802003,Distressed,10,3300,0,22,44,3,33.4
2703013,Middle Market,10,2054.55,0,10,1,8,79.5
2001002,Distressed,10,6150,0,11,23,3,30.2
1001002,Distressed,10,4400,1,20,19,2,63.3
806004,Distressed,10,6850,0,13,30,3,42.9
1604001,Distressed,10,3300,0,5,24,3,43.2
1501001,Distressed,10,6966.67,0,21,19,5,30.7
806002,Distressed,10,5650,0,8,31,2,44.3
2704023,Middle Market,10,2430,0,1,0,5,68.5
2002005,Distressed,10,1040,0,7,13,4,61
909003,Distressed,10,7200,0,22,30,5,38.5
2705021,Middle Market Choice,10,3746.67,0,5,0,6,42.8
2710022,Middle Market Stressed,10,9433.33,0,5,1,9,65.3
901004,Middle Market Stressed,10,8325,1,12,3,2,36.3
2802004,Middle Market,10,2164.29,0,5,1,4,75.6
1605002,Middle Market Stressed,10,4400,0,1,7,6,57.4
1001001,Distressed,10,4533.33,0,11,25,3,47
1608011,Middle Market,10,10300,0,0,0,5,41.8
1608013,Distressed,10,8233.33,0,0,1,5,75.4
2605014,Middle Market,10,441.3,0,12,0,2,74.1
2711011,Regional Choice,10,2216.67,0,2,0,2,35.3
1601004,Distressed,10,5760,0,20,23,5,27.8
1403001,Middle Market Stressed,10,9233.33,3,8,25,9,15.9
2711012,Middle Market Choice,10,3630,0,5,1,3,56.7
2804021,Middle Market,10,2966.67,0,17,2,5,76.5
1506005,Distressed,10,2871.43,1,20,12,8,38.8
1504005,Distressed,10,6550,0,5,28,5,37.3
2606054,Middle Market,10,1692.86,0,14,0,4,69.1
1512002,Distressed,10,2350,0,16,23,7,41.5
1601003,Distressed,9,9725,1,8,32,5,22.2
1605001,Distressed,9,2800,0,7,2,3,43.6
908003,Distressed,9,3025,0,20,25,3,38
2708024,Middle Market Choice,9,5400,0,0,0,5,31.1
802005,Distressed,9,1200,0,35,19,2,54.9
1511005,Middle Market Choice,9,3028.57,0,2,1,10,76.3
1511004,Middle Market Choice,9,2872.73,0,3,1,2,84.6
1403005,Distressed,9,3925,7,45,17,4,33.6
2711021,Regional Choice,9,2016.13,3,6,0,0,26.9
2708053,Middle Market,9,5466.67,0,1,1,4,26.2
2502055,Middle Market Stressed,9,7837.5,0,22,0,4,12.6
1401002,Regional Choice,9,7271.43,2,5,1,1,19.7
1504003,Distressed,9,4625,1,2,16,5,42.8
2716002,Middle Market Stressed,9,7950,0,6,1,5,24
1802002,Middle Market Stressed,9,11950,0,32,18,9,27.8
1602001,Distressed,9,7925,0,4,13,4,75
1513006,Distressed,9,3150,0,15,19,5,43.3
2003001,Distressed,8,6150,0,22,25,4,23
1201002,Regional Choice,8,8757.14,0,4,0,1,25.5
1508003,Middle Market Stressed,8,4180,1,10,10,12,39.4
1205002,Distressed,8,2687.5,2,16,17,2,21.8
1511001,Middle Market,8,5433.33,0,4,1,4,56.8
2720014,Middle Market,8,8686.67,10,5,0,4,25.4
2719005,Middle Market,8,3962.5,0,4,0,3,67.7
1508001,Middle Market,8,6633.33,0,0,3,13,42
2716005,Distressed,8,3220,0,6,9,9,60.6
2718021,Distressed,8,4475,0,8,20,9,37.7
2702003,Middle Market Choice,8,2400,0,6,0,5,71.2
2802002,Middle Market,8,569.44,0,2,0,6,78.8
1204003,Middle Market Choice,8,10800,8,17,26,4,30
906001,Distressed,8,4920,0,0,7,8,56.7
2709011,Middle Market Choice,8,7411.11,0,0,0,3,56
905001,Distressed,8,1575,0,13,3,5,46
804003,Distressed,8,8000,0,4,48,3,13.7
2801014,Middle Market,8,1790,0,5,3,4,78.8
2706005,Middle Market Choice,8,3600,0,4,0,4,88.2
1401005,Regional Choice,8,13000,0,6,0,3,24.1
1512004,Distressed,8,3760,0,22,19,7,42.4
2720035,Regional Choice,8,2990.91,1,3,0,0,54
804001,Distressed,7,5600,1,3,40,4,39.4
1506006,Distressed,7,1184.62,0,21,21,4,44.3
1507011,Middle Market,7,896.67,0,10,2,8,49.3
1508005,Middle Market Stressed,7,5566.67,1,10,6,8,31.1
1508006,Middle Market Stressed,7,3516.67,0,9,7,11,31.2
1508007,Distressed,7,4487.5,1,13,12,10,26.2
1510005,Middle Market Choice,7,3450,1,5,10,13,37.8
1510008,Middle Market Stressed,7,3128.57,0,13,5,11,35.7
1601001,Distressed,7,2000,0,31,33,3,49.6
1604004,Distressed,7,5500,0,12,45,2,37.8
1304002,Middle Market Stressed,7,9100,1,7,10,9,20.1
2004001,Distressed,7,10200,0,9,37,4,25.8
2004003,Distressed,7,7450,0,3,30,2,29.3
1002002,Middle Market Stressed,7,3180,1,1,0,5,80.5
2502032,Middle Market Stressed,7,6828.57,0,1,7,5,33.2
909001,Distressed,7,7400,0,15,10,2,46.8
2504022,Middle Market,7,1500,6,6,21,3,12.7
2804035,Regional Choice,7,1613.33,0,4,1,5,53.3
2606042,Middle Market,7,3480,0,12,1,5,35.6
704003,Distressed,7,7400,1,9,21,2,12.7
2708041,Regional Choice,7,7187.5,0,14,0,2,21.6
2718024,Distressed,7,4800,0,4,9,6,45.6
2720013,Middle Market Choice,7,3978.57,0,2,0,4,56.2
2720021,Regional Choice,7,6626.32,0,2,0,1,40
2803013,Regional Choice,7,3306.82,2,23,1,4,7.6
1501003,Distressed,7,20328.57,1,20,14,3,25
1001003,Distressed,6,4960,3,16,23,4,50.1
1603003,Distressed,6,2300,0,29,40,7,30.7
1204004,Distressed,6,2625,0,35,33,8,29.5
1304001,Distressed,6,204.95,2,2,11,5,40.3
1102003,Regional Choice,6,17314.29,1,1,0,2,6.6
1607005,Middle Market Stressed,6,5833.33,0,5,10,6,65
2501034,Middle Market Choice,6,1191.89,0,8,0,3,40.3
2720031,Regional Choice,6,3758.33,1,2,0,1,46.9
2502031,Middle Market Stressed,6,1028.13,0,1,1,2,36.9
2715015,Regional Choice,6,3772.73,16,29,0,1,19.7
1206002,Middle Market,6,4111.11,1,4,0,10,17.4
2801012,Middle Market,6,1752.78,0,25,0,5,26.2
1510004,Middle Market Stressed,6,3440,0,9,8,11,33
301003,Middle Market Choice,6,12670,1,16,4,3,4.7
2708022,Middle Market Choice,6,8620,0,0,0,2,27.2
1204002,Middle Market Stressed,6,6300,6,28,14,7,16.5
1601002,Distressed,6,8200,0,21,20,8,21.7
802001,Distressed,6,884.21,0,26,11,4,55.3
1602003,Distressed,6,4733.33,0,18,44,5,14.8
1602004,Distressed,6,3666.67,0,32,33,5,11.7
2604022,Middle Market,6,1348.48,0,7,0,7,22.2
1603001,Distressed,6,4400,1,31,18,3,36.6
2708013,Middle Market Choice,6,4987.5,0,2,0,6,52.3
1603002,Distressed,5,4900,0,50,27,14,14.3
1402003,Distressed,5,2350,1,23,30,4,39.3
804002,Distressed,5,2800,0,34,30,3,32.1
2606043,Middle Market Stressed,5,500,0,5,0,3,51.5
2606041,Middle Market,5,966.67,0,1,1,10,72.4
1511006,Middle Market Choice,5,2833.33,0,1,2,11,61.3
1602002,Distressed,5,6550,1,26,28,7,14
2803012,Middle Market,5,1400,0,58,0,6,27
904002,Distressed,5,13166.67,1,17,25,3,5
2601013,Middle Market Choice,5,5875,0,16,0,5,16.4
1302003,Middle Market,5,9100,0,6,7,13,28
1702001,Distressed,5,6620,1,15,17,3,15.9
2720032,Regional Choice,5,5041.67,3,5,0,2,22.4
2708023,Middle Market Choice,5,2925,0,2,0,4,43.8
1901002,Distressed,5,6800,0,16,9,8,27.6
909005,Distressed,5,1006.67,1,41,26,6,20.3
2715012,Regional Choice,5,866.67,0,4,0,2,78.7
1505002,Middle Market Stressed,5,1611.76,0,10,0,4,69.4
2004002,Distressed,5,2216.67,0,23,30,7,18.7
1101002,Regional Choice,5,13542.86,1,4,0,2,6.2
2708042,Middle Market Choice,5,6600,1,2,0,4,38.4
1206001,Regional Choice,5,14825,0,0,1,4,16.3
1202003,< 5 Sales; MultiFamily (>65% of Housing Units),4,20425,0,1,0,2,9.5
1403004,< 5 Residential Sales (2009-2010),4,3000,0,37,18,2,42.5
302002,< 5 Residential Sales (2009-2010),4,4360,1,11,0,5,45
1901003,< 5 Residential Sales (2009-2010),4,7600,0,34,18,1,17.2
2718014,< 5 Residential Sales (2009-2010),4,11200,0,0,1,5,77.1
1510003,< 5 Residential Sales (2009-2010),4,2614.29,0,3,6,6,47.9
1801002,< 5 Sales; MultiFamily (>65% of Housing Units),4,8083.33,3,59,12,3,6.2
1802001,< 5 Residential Sales (2009-2010),4,2357.14,1,52,15,5,19.1
2502072,< 5 Residential Sales (2009-2010),4,2411.11,0,6,1,3,56.4
1901001,< 5 Residential Sales (2009-2010),4,3000,0,25,26,3,42.2
1301002,< 5 Sales; MultiFamily (>65% of Housing Units),4,22950,3,18,22,20,11.1
301001,< 5 Residential Sales (2009-2010),4,6175,0,20,0,3,31.9
1302004,< 5 Residential Sales (2009-2010),4,9400,1,10,23,8,19.3
1508002,< 5 Residential Sales (2009-2010),4,3540,0,3,8,9,35
2717007,< 5 Residential Sales (2009-2010),4,1188,0,5,4,3,64.8
604003,< 5 Residential Sales (2009-2010),4,2355.56,0,5,0,3,47.1
1801001,< 5 Residential Sales (2009-2010),3,4771.43,0,7,0,5,23
909004,< 5 Sales; MultiFamily (>65% of Housing Units),3,14350,0,27,23,11,10.5
1002001,< 5 Sales; MultiFamily (>65% of Housing Units),3,9525,1,16,9,7,15.4
1101001,< 5 Residential Sales (2009-2010),3,26360,1,1,1,4,24.9
1102001,< 5 Sales; MultiFamily (>65% of Housing Units),3,8643.75,0,2,0,4,8.1
2717001,< 5 Residential Sales (2009-2010),3,2386.67,1,4,0,3,30
1401004,< 5 Sales; MultiFamily (>65% of Housing Units),3,17075,1,2,0,4,14.4
1302002,< 5 Residential Sales (2009-2010),3,11166.67,0,4,6,8,12.4
2804042,< 5 Residential Sales (2009-2010),3,523.53,0,0,2,1,77.5
1402001,< 5 Sales; MultiFamily (>65% of Housing Units),3,7850,3,8,23,7,7.1
803021,< 5 Residential Sales (2009-2010),2,14100,0,0,1,3,48.3
2717002,< 5 Residential Sales (2009-2010),2,6560,0,4,0,3,36
1701002,>50 residential lots; >40 % vacant lots,2,6180,0,40,1,6,9.2
2720025,< 5 Sales; MultiFamily (>65% of Housing Units),2,10125,0,0,0,0,9.6
2720024,< 5 Sales; MultiFamily (>65% of Housing Units),2,5735.71,0,1,0,1,30.3
807001,< 5 Residential Sales (2009-2010),2,2700,0,47,25,3,34.3
604002,< 5 Residential Sales (2009-2010),2,2366.67,0,2,0,8,32.3
2804032,< 5 Residential Sales (2009-2010),2,1932,0,6,1,5,39.1
1308051,< 5 Residential Sales (2009-2010),2,970.97,0,6,0,4,54.4
1205003,< 5 Residential Sales (2009-2010),2,6560,1,7,8,8,16.7
2604033,< 5 Residential Sales (2009-2010),2,34.29,0,21,0,14,66.7
301002,>50 residential lots; >50 % vacant lots,1,1800,0,58,1,5,42.2
1301001,< 5 Residential Sales (2009-2010),1,8533.33,0,2,13,15,25.3
2715031,< 5 Residential Sales (2009-2010),1,2441.38,0,1,0,1,74.4
1301004,< 5 Sales; MultiFamily (>65% of Housing Units),1,16700,3,1,8,13,11.4
1505001,< 5 Sales; MultiFamily (>65% of Housing Units),1,2110.53,1,7,8,6,19
2708032,< 5 Sales; MultiFamily (>65% of Housing Units),1,5022.73,0,11,0,2,7.5
501002,< 5 Sales; MultiFamily (>65% of Housing Units),1,5133.33,0,22,0,26,6.9
2506001,>50 residential lots; >40 % vacant lots,1,4.55,0,37,1,0,0
2506002,>50 residential lots; >40 % vacant lots,1,4.9,0,59,0,9,20.3
2602014,< 5 Sales; MultiFamily (>65% of Housing Units),1,5917.39,1,14,1,12,2.7
2803011,>50 residential lots; >40 % vacant lots,1,1379.63,0,41,1,2,6.1
1402004,>50 residential lots; >40 % vacant lots,1,5166.67,1,46,16,3,22.1
2604041,>50 residential lots; >40 % vacant lots,1,48.98,0,37,2,0,14.4
302001,< 5 Residential Sales (2009-2010),1,1316.67,1,21,0,18,59.9
1202005,< 5 Sales; MultiFamily (>65% of Housing Units),1,21200,0,0,0,1,11.8
1702002,< 5 Sales; MultiFamily (>65% of Housing Units),0,26255.56,11,5,0,50,0
2502043,NR - Non-residential (<50 residential lots),0,25,0,0,0,0,100
2404002,NR - Non-residential (<50 residential lots),0,0,0,0,0,0,0
1002003,>50 residential lots; >50 % vacant lots,0,0,0,85,0,0,0
2502071,< 5 Sales; MultiFamily (>65% of Housing Units),0,2788.89,0,20,0,17,1.7
2505005,>50 residential lots; >40 % vacant lots,0,1.05,0,46,0,20,0
1004002,>50 residential lots; >50 % vacant lots,0,375,0,55,13,14,20.5
1608021,NR - Non-residential (<50 residential lots),0,0,0,92,0,0,0
704002,>50 residential lots; >50 % vacant lots,0,3075,0,90,0,0,0
1205004,NR - Non-residential (<50 residential lots),0,20,0,6,0,0,100
2603031,>50 residential lots; >40 % vacant lots,0,197.87,0,44,0,3,29.4
2604011,NR - Non-residential (<50 residential lots),0,10.53,0,0,0,0,0
2707021,< 5 Sales; MultiFamily (>65% of Housing Units),0,9740,0,33,0,0,0
2604012,NR - Non-residential (<50 residential lots),0,6.67,0,34,0,0,0
1202004,< 5 Sales; MultiFamily (>65% of Housing Units),0,0,0,20,0,0,0
2604013,NR - Non-residential (<50 residential lots),0,0,0,0,0,0,0
2604032,NR - Non-residential (<50 residential lots),0,13.33,0,90,0,450,0
501003,NR - Non-residential (<50 residential lots),0,4566.67,0,3,3,4,9.4
1002004,< 5 Sales; MultiFamily (>65% of Housing Units),0,71300,100,0,0,0,0
2707011,< 5 Sales; MultiFamily (>65% of Housing Units),0,8960,13,0,0,0,0
2604044,NR - Non-residential (<50 residential lots),0,0,0,71,0,0,0
808002,>50 residential lots; >50 % vacant lots,0,2450,22,72,1,2,24.9
2201003,NR - Non-residential (<50 residential lots),0,0,0,0,0,0,0
401001,< 5 Sales; MultiFamily (>65% of Housing Units),0,3350,0,6,0,5,15.7
401002,< 5 Sales; MultiFamily (>65% of Housing Units),0,9553.33,0,12,1,21,0.1
402001,< 5 Sales; MultiFamily (>65% of Housing Units),0,483.33,0,14,1,0,4.4
402002,< 5 Sales; MultiFamily (>65% of Housing Units),0,2390.91,2,15,0,0,0
1003001,NR - Non-residential (<50 residential lots),0,0,0,0,0,0,0
501001,< 5 Residential Sales (2009-2010),0,6.25,0,7,0,0,0
1206003,< 5 Sales; MultiFamily (>65% of Housing Units),0,7542.86,1,8,2,18,0.9
2502041,NR - Non-residential (<50 residential lots),0,7369.23,3,3,0,3,5.2
605001,< 5 Sales; MultiFamily (>65% of Housing Units),0,7263.64,3,17,0,0,0
